sample_id,type,sub_type,depth,latitude,longitude,collection date,samples_incoass
A1,lake,pond,0.55,55.23,-77.7,2014-08-05,
A2,lake,pond,0.95,55.23,-77.7,2014-08-05,
A3,lake,pond,1.35,55.23,-77.7,2014-08-05,
A4,lake,pond,2.25,55.23,-77.7,2014-08-05,
A5,lake,pond,0.15,55.23,-77.7,2014-08-05,
AM-2014-D1,lake,,1,61.21,25.11,2014-09-05,
AM-2014-D2,lake,,2.35,61.21,25.11,2014-09-05,
AM-2014-D3,lake,,3,61.21,25.11,2014-09-05,
AM-2014-D4,lake,,3.7,61.21,25.11,2014-09-05,
AM-2014-D5,lake,,4.4,61.21,25.11,2014-09-05,
AM-2014-D6,lake,,5.1,61.21,25.11,2014-09-05,
AM-2014-D7,lake,,5.8,61.21,25.11,2014-09-05,
AM-2014-D8,lake,,6.3,61.21,25.11,2014-09-05,
AM-lipid-01-D10,lake,,6,61.21,25.11,2018-08-22,
AM-lipid-01-D1,lake,,1,61.21,25.11,2018-08-22,
AM-lipid-01-D2,lake,,2,61.21,25.11,2018-08-22,
AM-lipid-01-D3,lake,,2.3,61.21,25.11,2018-08-22,
AM-lipid-01-D4,lake,,3,61.21,25.11,2018-08-22,
AM-lipid-01-D5,lake,,3.5,61.21,25.11,2018-08-22,
AM-lipid-01-D6,lake,,4,61.21,25.11,2018-08-22,
AM-lipid-01-D7,lake,,4.5,61.21,25.11,2018-08-22,
AM-lipid-01-D8,lake,,5,61.21,25.11,2018-08-22,
AM-lipid-01-D9,lake,,5.5,61.21,25.11,2018-08-22,
AM-lipid-02-D1,lake,,1,61.21,25.11,2018-08-22,
AM-lipid-02-D10,lake,,6,61.21,25.11,2018-08-22,
AM-lipid-02-D2,lake,,2,61.21,25.11,2018-08-22,
AM-lipid-02-D3,lake,,2.3,61.21,25.11,2018-08-22,
AM-lipid-02-D4,lake,,3,61.21,25.11,2018-08-22,
AM-lipid-02-D5,lake,,3.5,61.21,25.11,2018-08-22,
AM-lipid-02-D6,lake,,4,61.21,25.11,2018-08-22,
AM-lipid-02-D7,lake,,4.5,61.21,25.11,2018-08-22,
AM-lipid-02-D8,lake,,5,61.21,25.11,2018-08-22,
AM-lipid-02-D9,lake,,5.5,61.21,25.11,2018-08-22,
AM-sed-core1-D0,lake,sediment,6.45,61.21,25.11,2018-08-22,
AM-sed-core1-D1,lake,sediment,6.5,61.21,25.11,2018-08-22,
AM-sed-core1-D2,lake,sediment,6.56,61.21,25.11,2018-08-22,
AM-sed-core2-D0,lake,sediment,6.45,61.21,25.11,2018-08-22,
AM-sed-core2-D1,lake,sediment,6.5,61.21,25.11,2018-08-22,
AM-sed-core2-D2,lake,sediment,6.56,61.21,25.11,2018-08-22,
AM-sed-core3-D0,lake,sediment,6.45,61.21,25.11,2018-08-22,
AM-sed-core3-D1,lake,sediment,6.5,61.21,25.11,2018-08-22,
AM-sed-core3-D2,lake,sediment,6.56,61.21,25.11,2018-08-22,
AM1,lake,,0.5,61.21,25.11,2015-08-08,
AM2,lake,,2,61.21,25.11,2015-08-08,
AM3,lake,,3,61.21,25.11,2015-08-08,
AM4,lake,,4,61.21,25.11,2015-08-08,
AM5,lake,,5.5,61.21,25.11,2015-08-08,
B1,lake,pond,0.15,55.23,-77.7,2014-08-05,
B2,lake,pond,0.45,55.23,-77.7,2014-08-05,
B4,lake,pond,0,55.22,-77.7,2014-08-05,
B4-5,lake,pond,0,55.22,-77.7,2017-07-05,
C2,lake,pond,0.15,55.23,-77.7,2014-08-05,
C3,lake,pond,0.45,55.23,-77.7,2014-08-05,
C4,lake,pond,0.75,55.23,-77.7,2014-08-05,
C5,lake,pond,0,55.23,-77.7,2014-08-05,
C5-5,lake,pond,0,55.23,-77.7,2017-07-05,
D1,lake,pond,0.15,55.23,-77.7,2014-08-05,
D2,lake,pond,0.45,55.23,-77.7,2014-08-05,
D3,lake,pond,1.25,55.23,-77.7,2014-08-05,
D4,lake,pond,2.05,55.23,-77.7,2014-08-05,
Day2-1,lake,,0.65,63.35,14.46,2016-03-24,
Day2-2,lake,,1.05,63.35,14.46,2016-03-24,
Day2-3,lake,,1.35,63.35,14.46,2016-03-24,
Day2-4,lake,,1.85,63.35,14.46,2016-03-24,
Day2-5,lake,,2.35,63.35,14.46,2016-03-24,
Day2-6,lake,,2.65,63.35,14.46,2016-03-24,
Day6-1,lake,,0.65,63.35,14.46,2016-04-02,
Day6-2,lake,,1.05,63.35,14.46,2016-04-02,
Day6-3,lake,,1.35,63.35,14.46,2016-04-02,
Day6-4,lake,,1.85,63.35,14.46,2016-04-02,
Day6-5,lake,,2.35,63.35,14.46,2016-04-02,
Day6-6,lake,,2.85,63.35,14.46,2016-04-02,
E1,lake,pond,0.25,55.23,-77.7,2014-08-05,
E2,lake,pond,0.75,55.23,-77.7,2014-08-05,
E3,lake,pond,1.35,55.23,-77.7,2014-08-05,
E4,lake,pond,1.85,55.23,-77.7,2014-08-05,
E5,lake,pond,2.35,55.23,-77.69,2014-08-05,
Erken-D1,lake,,1,59.84,18.64,2018-08-10,
Erken-D10,lake,,18,59.84,18.64,2018-08-10,
Erken-D11,lake,,20,59.84,18.64,2018-08-10,
Erken-D2,lake,,5,59.84,18.64,2018-08-10,
Erken-D3,lake,,6,59.84,18.64,2018-08-10,
Erken-D4,lake,,8,59.84,18.64,2018-08-10,
Erken-D5,lake,,10,59.84,18.64,2018-08-10,
Erken-D6,lake,,11,59.84,18.64,2018-08-10,
Erken-D7,lake,,12,59.84,18.64,2018-08-10,
Erken-D8,lake,,14,59.84,18.64,2018-08-10,
Erken-D9,lake,,16,59.84,18.64,2018-08-10,
F1,lake,pond,0.45,55.23,-77.69,2014-08-05,
F3,lake,pond,1.05,55.23,-77.69,2014-08-05,
F4,lake,pond,1.65,55.23,-77.69,2014-08-05,
F5,lake,pond,2.35,55.23,-77.69,2014-08-05,
G1,lake,pond,0.15,55.23,-77.7,2014-08-05,
G1-5,lake,pond,0,55.23,-77.7,2017-07-05,
H1,lake,pond,0,55.23,-77.7,2014-08-05,
I1,lake,pond,0.1,55.23,-77.7,2014-08-05,
I2,lake,pond,0.35,55.23,-77.7,2014-08-05,
I3,lake,pond,0,55.23,-77.7,2014-08-05,
I3-5,lake,pond,0,55.23,-77.7,2017-07-05,
Ja1-D2,lake,,2.2,63.35,14.46,2018-07-05,
Ja1-D4,lake,,2.7,63.35,14.46,2018-07-05,
Ja1-D5,lake,,3.5,63.35,14.46,2018-07-05,
Ja2-D2,lake,,2.8,63.39,14.46,2018-07-06,
Ja2-D4,lake,,4.4,63.39,14.46,2018-07-06,
Ki1-0-7m,lake,,0.7,67.93,20.36,2018-07-24,
Ki1-1-6m,lake,,1.6,67.93,20.36,2018-07-24,
Ki1-2-2m,lake,,2.2,67.93,20.36,2018-07-24,
Ki1-2-7m,lake,,2.7,67.93,20.36,2018-07-24,
Ki2-D1,lake,,1,67.92,20.37,2018-07-27,
Ki2-D2,lake,,3.9,67.92,20.37,2018-07-27,
Ki2-D3,lake,,4.2,67.92,20.37,2018-07-27,
Ki2-D4,lake,,5.5,67.92,20.37,2018-07-27,
Ki3-D1,lake,,0.7,67.65,21.17,2018-07-30,
Ki3-D2,lake,,2.5,67.65,21.17,2019-07-30,
Ki3-D3,lake,,2.75,67.65,21.17,2020-07-30,
Ki3-D4,lake,,3.1,67.65,21.17,2021-07-30,
